"Data da Arrecadacao";"Conta";"Descricao da Conta";"Vinculo";"Descricao do Vinculo";"Valor Arrecadado";"Entidade"
"24/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"7181,00";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"24/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"15017,78";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"25/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"14548,26";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"25/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"11452,23";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"25/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"24000,51";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"26/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"11392,97";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"26/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"8973,94";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"26/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"18800,28";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"27/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"6144,07";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"27/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"4841,46";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
